char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
姓,U+59D3,CJK UNIFIED IDEOGRAPH-59D3,CJK,2191,NAME:1095; SURN:1067; _MARNM:14; GIVN:10,躍 /嬀姓/
本,U+672C,CJK UNIFIED IDEOGRAPH-672C,CJK,2157,NAME:1115; _MARNM:224; SURN:209; GIVN:202,陳本立 /Chan/
定,U+5B9A,CJK UNIFIED IDEOGRAPH-5B9A,CJK,2151,NAME:1314; GIVN:631; SURN:83; OCCU:72,陳定 /Chan 118/
娘,U+5A18,CJK UNIFIED IDEOGRAPH-5A18,CJK,2142,NAME:1190; NICK:593; GIVN:343; OCCU:12,織田敏信娘
姬,U+59EC,CJK UNIFIED IDEOGRAPH-59EC,CJK,2139,NAME:1119; SURN:734; _MARNM:236; GIVN:46,颛顼 /姬/
š,U+0161,LATIN SMALL LETTER S WITH CARON,LATIN,2117,NAME:770; SURN:385; NICK:198; GIVN:189,"Jaroslavas ""Išmintingasis"" //"
良,U+826F,CJK UNIFIED IDEOGRAPH-826F,CJK,2106,NAME:1270; GIVN:622; OCCU:60; _MARNM:58,陳夢良 /Chan/
杜,U+675C,CJK UNIFIED IDEOGRAPH-675C,CJK,2097,NAME:905; SURN:836; _MARNM:240; TITL:102,珪 字澤 /京兆杜陵/
二,U+4E8C,CJK UNIFIED IDEOGRAPH-4E8C,CJK,2065,NAME:1040; NSFX:730; GIVN:80; OCCU:78,據 /陳郡陽夏/ 二
à,U+00E0,LATIN SMALL LETTER A WITH GRAVE,LATIN,2063,NAME:1140; GIVN:503; OCCU:115; NICK:82,Jofré /de Borja y Escrivà/ 1er Señor de la Casa de Borja en Xátiva
部,U+90E8,CJK UNIFIED IDEOGRAPH-90E8,CJK,2049,NAME:1227; SURN:306; _MARNM:299; OCCU:116,和泉式部 /大江/
º,U+00BA,MASCULINE ORDINAL INDICATOR,MASCULINE,2038,NAME:784; NSFX:656; TITL:292; OCCU:234,Afonso /de Bragança/ 1º conde de Faro e 2º de Odemira
ê,U+00EA,LATIN SMALL LETTER E WITH CIRCUMFLEX,LATIN,2030,NAME:833; GIVN:395; OCCU:188; NSFX:157,Guy /l'Archevêque de Parthenay/ Seigneur de Soubise
이,U+C774,HANGUL SYLLABLE I,HANGUL,2016,NAME:1011; SURN:908; GIVN:75; _MARNM:12,원세조 쿠빌라이 칸
韋,U+97CB,CJK UNIFIED IDEOGRAPH-97CB,CJK,2013,_MARNM:1278; NAME:621; TITL:73; SURN:34,韋
郡,U+90E1,CJK UNIFIED IDEOGRAPH-90E1,CJK,2012,NAME:995; SURN:976; GIVN:12; OCCU:9,貞 元正 /陳郡陽夏/
劉,U+5289,CJK UNIFIED IDEOGRAPH-5289,CJK,1985,NAME:798; _MARNM:711; SURN:301; TITL:133,劉氏 /Chan/
仁,U+4EC1,CJK UNIFIED IDEOGRAPH-4EC1,CJK,1983,NAME:1083; GIVN:620; SURN:195; NICK:35,尚 仁祖 /陳郡陽夏/
ц,U+0446,CYRILLIC SMALL LETTER TSE,CYRILLIC,1974,NAME:611; SURN:340; TITL:315; _MARNM:183,принц на Франция
通,U+901A,CJK UNIFIED IDEOGRAPH-901A,CJK,1969,NAME:1125; GIVN:611; OCCU:87; TITL:76,陳元通 /Chan/
太,U+592A,CJK UNIFIED IDEOGRAPH-592A,CJK,1968,NAME:941; SURN:598; GIVN:168; TITL:95,元太祖
喜,U+559C,CJK UNIFIED IDEOGRAPH-559C,CJK,1942,NAME:1002; SURN:769; GIVN:114; _MARNM:21,陳才喜 /Chan/
德,U+5FB7,CJK UNIFIED IDEOGRAPH-5FB7,CJK,1939,NAME:1150; GIVN:647; _MARNM:49; SURN:39,陳文德 /Chan 121/
臨,U+81E8,CJK UNIFIED IDEOGRAPH-81E8,CJK,1939,NAME:976; SURN:926; GIVN:33; NICK:4,耨里思 /臨潢/
吉,U+5409,CJK UNIFIED IDEOGRAPH-5409,CJK,1926,NAME:1096; GIVN:327; SURN:248; _MARNM:116,陳吉 /Chan 117/
ī,U+012B,LATIN SMALL LETTER I WITH MACRON,LATIN,1925,NAME:1131; GIVN:407; _MARNM:178; NICK:84,zì: Xīxián 字:希賢
景,U+666F,CJK UNIFIED IDEOGRAPH-666F,CJK,1923,NAME:1124; GIVN:716; NICK:53; OCCU:25,裕 景仁 /陳郡陽夏/
О,U+041E,CYRILLIC CAPITAL LETTER O,CYRILLIC,1915,TITL:872; NAME:448; GIVN:205; SURN:131,Ольденбург
伊,U+4F0A,CJK UNIFIED IDEOGRAPH-4F0A,CJK,1910,NAME:1100; SURN:239; _MARNM:226; GIVN:171,多津 /伊藤/
ه,U+0647,ARABIC LETTER HEH,ARABIC,1897,NAME:852; GIVN:493; SURN:266; TITL:114,دسپنه خاتون‎ //
前,U+524D,CJK UNIFIED IDEOGRAPH-524D,CJK,1885,NAME:1044; _MARNM:269; SURN:254; OCCU:140,前修 /黃/
黄,U+9EC4,CJK UNIFIED IDEOGRAPH-9EC4,CJK,1874,NAME:1078; _MARNM:460; SURN:242; GIVN:59,黄中 /陳/
天,U+5929,CJK UNIFIED IDEOGRAPH-5929,CJK,1854,NAME:861; GIVN:279; OCCU:277; _MARNM:152,道巨 天然 /陳/
楊,U+694A,CJK UNIFIED IDEOGRAPH-694A,CJK,1850,_MARNM:821; NAME:528; TITL:386; SURN:87,楊氏 /Chan/
ق,U+0642,ARABIC LETTER QAF,ARABIC,1848,NAME:796; SURN:507; GIVN:249; _MARNM:178,اباقا خان Sulamish - Chichak
実,U+5B9F,CJK UNIFIED IDEOGRAPH-5B9F,CJK,1841,NAME:1148; GIVN:579; OCCU:83; NICK:29,実久 /徳大寺/
仲,U+4EF2,CJK UNIFIED IDEOGRAPH-4EF2,CJK,1829,NAME:1044; GIVN:726; NICK:33; OCCU:14,陳仲山 /Chan/
Ч,U+0427,CYRILLIC CAPITAL LETTER CHE,CYRILLIC,1806,TITL:1047; NAME:310; SURN:151; NICK:100,Лешек Чёрный /Пяст/
У,U+0423,CYRILLIC CAPITAL LETTER U,CYRILLIC,1799,TITL:693; STAE:412; NAME:311; GIVN:143,Курт Убаш
内,U+5185,CJK UNIFIED IDEOGRAPH-5185,CJK,1799,NAME:1091; _MARNM:227; SURN:222; OCCU:134,山之内
孫,U+5B6B,CJK UNIFIED IDEOGRAPH-5B6B,CJK,1792,TITL:729; NAME:477; _MARNM:342; GIVN:197,陳觀孫 /Chan/
י,U+05D9,HEBREW LETTER YOD,HEBREW,1788,NAME:846; GIVN:360; SURN:228; NSFX:105,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
ė,U+0117,LATIN SMALL LETTER E WITH DOT ABOVE,LATIN,1786,NAME:711; SURN:385; GIVN:159; _MARNM:153,Ingeborga /Tryggvės duktė/
佐,U+4F50,CJK UNIFIED IDEOGRAPH-4F50,CJK,1783,NAME:1064; GIVN:215; _MARNM:214; SURN:198,陳朝佐 /Chan/
継,U+7D99,CJK UNIFIED IDEOGRAPH-7D99,CJK,1779,NAME:982; GIVN:496; OCCU:282; NICK:18,織田信秀継室
Ф,U+0424,CYRILLIC CAPITAL LETTER EF,CYRILLIC,1758,NAME:840; GIVN:756; NICK:72; TITL:26,принц на Франция
隆,U+9686,CJK UNIFIED IDEOGRAPH-9686,CJK,1755,NAME:1075; GIVN:559; OCCU:82; NICK:31,隆 /陳/
’,U+2019,RIGHT SINGLE QUOTATION MARK,RIGHT,1752,TITL:660; NAME:464; _MARNM:170; GIVN:122,John ‘the Quaker’ /Rhodes/ Sr.
織,U+7E54,CJK UNIFIED IDEOGRAPH-7E54,CJK,1751,NAME:980; _MARNM:269; SURN:262; OCCU:114,敏信 /織田/
Н,U+041D,CYRILLIC CAPITAL LETTER EN,CYRILLIC,1748,NAME:585; GIVN:391; TITL:368; NICK:98,Наполеон Жозеф Шарл Пол Бонапарт
聞,U+805E,CJK UNIFIED IDEOGRAPH-805E,CJK,1745,NAME:878; SURN:736; GIVN:131,聞公 /陳/
ة,U+0629,ARABIC LETTER TEH MARBUTA,ARABIC,1730,NAME:711; GIVN:540; TITL:382; NICK:35,الاسكندرية
榮,U+69AE,CJK UNIFIED IDEOGRAPH-69AE,CJK,1713,NAME:874; SURN:626; GIVN:181; TITL:19,陳榮可 /Chan/
興,U+8208,CJK UNIFIED IDEOGRAPH-8208,CJK,1697,NAME:925; GIVN:455; SURN:209; OCCU:49,陳季興 /Chan/
上,U+4E0A,CJK UNIFIED IDEOGRAPH-4E0A,CJK,1697,NAME:932; SURN:239; _MARNM:223; GIVN:125,正五位上隠岐守
俊,U+4FCA,CJK UNIFIED IDEOGRAPH-4FCA,CJK,1691,NAME:1032; GIVN:543; OCCU:73; NICK:36,陳俊 /Chan 120/
蘭,U+862D,CJK UNIFIED IDEOGRAPH-862D,CJK,1685,NAME:849; SURN:743; GIVN:71; _MARNM:20,蘭 宝樹院 /青木/
康,U+5EB7,CJK UNIFIED IDEOGRAPH-5EB7,CJK,1683,NAME:911; GIVN:456; NICK:92; OCCU:90,Hong Dai 康大 5 /Chin/
朝,U+671D,CJK UNIFIED IDEOGRAPH-671D,CJK,1680,NAME:1016; GIVN:344; SURN:111; _MARNM:102,隋朝列祖列宗 /謝氏/
З,U+0417,CYRILLIC CAPITAL LETTER ZE,CYRILLIC,1678,NAME:674; SURN:315; _MARNM:265; TITL:264,Киевская Земля (within Present Ukraine)
開,U+958B,CJK UNIFIED IDEOGRAPH-958B,CJK,1664,NAME:836; SURN:661; GIVN:159; NICK:4,天国排開広庭 /欽明天皇/
ё,U+0451,CYRILLIC SMALL LETTER IO,CYRILLIC,1661,NAME:784; GIVN:731; TITL:82; NICK:32,Мария (София Доротея) Фёдоровна /Вюртембергская/
村,U+6751,CJK UNIFIED IDEOGRAPH-6751,CJK,1639,NAME:913; SURN:326; _MARNM:156; GIVN:120,中村
泰,U+6CF0,CJK UNIFIED IDEOGRAPH-6CF0,CJK,1628,NAME:770; GIVN:386; TITL:334; SURN:78,泰 玄伯 /潁川許昌/
秀,U+79C0,CJK UNIFIED IDEOGRAPH-79C0,CJK,1620,NAME:921; GIVN:483; OCCU:83; NICK:78,陳秀清 /Chan/
ה,U+05D4,HEBREW LETTER HE,HEBREW,1617,NAME:785; GIVN:269; SURN:247; NSFX:114,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
ف,U+0641,ARABIC LETTER FEH,ARABIC,1614,NAME:668; GIVN:311; SURN:290; TITL:186,سليمان قتيل فخ /الحسني/
房,U+623F,CJK UNIFIED IDEOGRAPH-623F,CJK,1604,NAME:906; GIVN:460; _MARNM:121; OCCU:77,小嶋信房養女
孝,U+5B5D,CJK UNIFIED IDEOGRAPH-5B5D,CJK,1602,NAME:913; GIVN:562; OCCU:39; NICK:37,忠 孝先 /潁川許縣/
晉,U+6649,CJK UNIFIED IDEOGRAPH-6649,CJK,1596,NAME:811; SURN:717; GIVN:37; NICK:23,晉安公主
邪,U+90AA,CJK UNIFIED IDEOGRAPH-90AA,CJK,1582,NAME:792; SURN:780; GIVN:9; NICK:1,Izanagi伊邪那岐
琅,U+7405,CJK UNIFIED IDEOGRAPH-7405,CJK,1582,NAME:792; SURN:784; GIVN:6,Lang 琅 /Yú 余/
江,U+6C5F,CJK UNIFIED IDEOGRAPH-6C5F,CJK,1579,NAME:832; SURN:404; GIVN:191; _MARNM:104,陳羅江 /Chan/
方,U+65B9,CJK UNIFIED IDEOGRAPH-65B9,CJK,1563,NAME:881; GIVN:373; SURN:147; NICK:61,方明 /陳郡陽夏/
綱,U+7DB1,CJK UNIFIED IDEOGRAPH-7DB1,CJK,1563,NAME:968; GIVN:497; OCCU:72; NICK:22,朝綱 /大江/
木,U+6728,CJK UNIFIED IDEOGRAPH-6728,CJK,1558,NAME:922; _MARNM:228; SURN:212; GIVN:83,铁木真成吉思汗 //
國,U+570B,CJK UNIFIED IDEOGRAPH-570B,CJK,1540,NAME:826; SURN:332; GIVN:276; NICK:28,大唐帝國 /謝氏/
伯,U+4F2F,CJK UNIFIED IDEOGRAPH-4F2F,CJK,1536,NAME:847; GIVN:595; TITL:54; _MARNM:17,伯黨 /京兆萬年/
季,U+5B63,CJK UNIFIED IDEOGRAPH-5B63,CJK,1535,NAME:865; GIVN:534; TITL:75; NICK:29,季氏 /Chan/
紀,U+7D00,CJK UNIFIED IDEOGRAPH-7D00,CJK,1529,NAME:887; SURN:197; GIVN:176; _MARNM:156,"紀公 zì Yuánfāng 字元方 /潁川許昌/ 90, 82, 49, 2"
ك,U+0643,ARABIC LETTER KAF,ARABIC,1517,NAME:643; GIVN:313; SURN:256; TITL:156,الاسكندرية
沂,U+6C82,CJK UNIFIED IDEOGRAPH-6C82,CJK,1514,NAME:758; SURN:740; GIVN:11; TITL:4,郕國宗聖公 曾參 子輿 | 沂國述聖公 孔伋 子思
某,U+67D0,CJK UNIFIED IDEOGRAPH-67D0,CJK,1510,NAME:895; GIVN:579; OCCU:23; _MARNM:6,宅子娘(伊賀国造某女)
石,U+77F3,CJK UNIFIED IDEOGRAPH-77F3,CJK,1495,NAME:873; _MARNM:200; SURN:174; GIVN:161,陳石全 /Chan/
名,U+540D,CJK UNIFIED IDEOGRAPH-540D,CJK,1489,NAME:820; SURN:285; GIVN:140; NICK:127,陳揚名 /Chan/
保,U+4FDD,CJK UNIFIED IDEOGRAPH-4FDD,CJK,1471,NAME:859; GIVN:253; SURN:137; _MARNM:132,陳鄧保 /Chan/
ו,U+05D5,HEBREW LETTER VAV,HEBREW,1458,NAME:705; GIVN:289; SURN:154; NSFX:109,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
경,U+ACBD,HANGUL SYLLABLE GYEONG,HANGUL,1455,PLAC:1222; NAME:127; GIVN:94; _MARNM:7,한국 경기도 구리시 인창동 산 2-1번지 동구릉 건원릉
行,U+884C,CJK UNIFIED IDEOGRAPH-884C,CJK,1453,NAME:899; GIVN:496; OCCU:32; NICK:24,夷行 /京兆長安/
黃,U+9EC3,CJK UNIFIED IDEOGRAPH-9EC3,CJK,1450,NAME:881; _MARNM:317; SURN:177; GIVN:49,氏 /黃/
ز,U+0632,ARABIC LETTER ZAIN,ARABIC,1443,NAME:604; SURN:291; GIVN:272; _MARNM:135,يزيد /الأموي/
国,U+56FD,CJK UNIFIED IDEOGRAPH-56FD,CJK,1430,NAME:676; GIVN:345; PLAC:275; OCCU:66,尾張国小木江城
ū,U+016B,LATIN SMALL LETTER U WITH MACRON,LATIN,1428,NAME:698; GIVN:308; TITL:118; _MARNM:98,"Dmitrijus ""Rūsčios akys"" Michailovičius"
多,U+591A,CJK UNIFIED IDEOGRAPH-591A,CJK,1426,NAME:838; _MARNM:196; SURN:182; GIVN:104,多恵子 /加納/
農,U+8FB2,CJK UNIFIED IDEOGRAPH-8FB2,CJK,1413,NAME:703; SURN:698; GIVN:6; TITL:5,/弘農華陰/
‎,U+200E,LEFT-TO-RIGHT MARK,LEFT-TO-RIGHT,1410,_MARNM:1047; NAME:151; GIVN:111; CITY:47,دسپنه خاتون‎ //
津,U+6D25,CJK UNIFIED IDEOGRAPH-6D25,CJK,1408,NAME:819; _MARNM:170; GIVN:160; SURN:154,特穆津
蕭,U+856D,CJK UNIFIED IDEOGRAPH-856D,CJK,1407,_MARNM:798; TITL:317; NAME:262; SURN:22,氏 /蕭/
徳,U+5FB3,CJK UNIFIED IDEOGRAPH-5FB3,CJK,1401,NAME:728; _MARNM:161; GIVN:157; SURN:149,養徳院 /池田/
馬,U+99AC,CJK UNIFIED IDEOGRAPH-99AC,CJK,1396,NAME:620; _MARNM:437; SURN:136; GIVN:70,馬氏 /Chan/
ô,U+00F4,LATIN SMALL LETTER O WITH CIRCUMFLEX,LATIN,1392,STAE:426; NAME:331; GIVN:144; PLAC:99,Pierre /de Vendôme/
水,U+6C34,CJK UNIFIED IDEOGRAPH-6C34,CJK,1387,NAME:757; SURN:325; _MARNM:139; GIVN:61,陳秀水 /Chan/
島,U+5CF6,CJK UNIFIED IDEOGRAPH-5CF6,CJK,1377,NAME:797; _MARNM:216; SURN:207; OCCU:77,伊勢長島
封,U+5C01,CJK UNIFIED IDEOGRAPH-5C01,CJK,1369,NAME:675; SURN:632; _MARNM:30; GIVN:27,Foong 封  /NG/ 5gen.
ج,U+062C,ARABIC LETTER JEEM,ARABIC,1368,NAME:521; SURN:267; GIVN:224; TITL:164,محمد الديباج /الحسيني/
ش,U+0634,ARABIC LETTER SHEEN,ARABIC,1351,NAME:543; SURN:253; GIVN:226; TITL:163,أبو طالب /الهاشمي/
基,U+57FA,CJK UNIFIED IDEOGRAPH-57FA,CJK,1346,NAME:827; GIVN:450; OCCU:40; NICK:14,勝基室 /宇喜多/
柳,U+67F3,CJK UNIFIED IDEOGRAPH-67F3,CJK,1345,_MARNM:522; NAME:450; TITL:241; SURN:67,"Chén Huái Gōng Liǔ, 陳懷公 柳, 60,52,19G: 24th Ruler of Tan State (Guī Liǔ 嬀柳)"
‏,U+200F,RIGHT-TO-LEFT MARK,RIGHT-TO-LEFT,1336,_MARNM:1054; NAME:147; GIVN:113; SURN:19,‏‏‎ ‎
涿,U+6DBF,CJK UNIFIED IDEOGRAPH-6DBF,CJK,1324,NAME:662; SURN:662,飛 益德 /涿郡/
人,U+4EBA,CJK UNIFIED IDEOGRAPH-4EBA,CJK,1319,TITL:609; NAME:371; GIVN:188; OCCU:78,商人の娘
倉,U+5009,CJK UNIFIED IDEOGRAPH-5009,CJK,1319,NAME:787; _MARNM:195; SURN:187; OCCU:72,"高畑源十郎娘,小倉実澄妻のち織田信長側室"
養,U+990A,CJK UNIFIED IDEOGRAPH-990A,CJK,1294,NAME:627; GIVN:292; OCCU:276; NICK:62,福養 /陳/
広,U+5E83,CJK UNIFIED IDEOGRAPH-5E83,CJK,1294,NAME:800; GIVN:350; OCCU:54; NICK:30,信広 /織田/
永,U+6C38,CJK UNIFIED IDEOGRAPH-6C38,CJK,1287,NAME:773; GIVN:306; SURN:94; _MARNM:58,陳永年 /Chan/
時,U+6642,CJK UNIFIED IDEOGRAPH-6642,CJK,1282,NAME:788; GIVN:433; OCCU:39; NICK:17,"英公 zì Shíxiǎng 字時享 /Chén 陳/ 97,89, 56, 9"
 ,U+00A0,NO-BREAK SPACE,NO-BREAK,1281,TITL:1257; NAME:9; PLAC:3; NICK:2,"""FamilySearch Family Tree,"" database, \i FamilySearch\i0  "
ت,U+062A,ARABIC LETTER TEH,ARABIC,1279,NAME:572; GIVN:233; SURN:219; TITL:134,دسپنه خاتون‎ //
澤,U+6FA4,CJK UNIFIED IDEOGRAPH-6FA4,CJK,1277,NAME:646; SURN:533; GIVN:78; _MARNM:13,珪 字澤 /京兆杜陵/
ф,U+0444,CYRILLIC SMALL LETTER EF,CYRILLIC,1262,NAME:515; GIVN:379; TITL:129; NICK:104,Наполеон Жозеф Шарл Пол Бонапарт
有,U+6709,CJK UNIFIED IDEOGRAPH-6709,CJK,1262,NAME:746; GIVN:248; _MARNM:98; SURN:98,舜 /有虞氏/
ß,U+00DF,LATIN SMALL LETTER SHARP S,LATIN,1255,NAME:337; _MARNM:215; SURN:181; STAE:139,Erbgroßherzogin von Mecklenburg-Schwerin
ο,U+03BF,GREEK SMALL LETTER OMICRON,GREEK,1235,NAME:497; GIVN:332; NICK:221; SURN:96,Θεοφανώ /Σκλήραινα/
妻,U+59BB,CJK UNIFIED IDEOGRAPH-59BB,CJK,1231,NAME:500; TITL:232; OCCU:228; GIVN:224,"高畑源十郎娘,小倉実澄妻のち織田信長側室"
和,U+548C,CJK UNIFIED IDEOGRAPH-548C,CJK,1230,NAME:680; GIVN:340; _MARNM:63; OCCU:58,和 /田/
池,U+6C60,CJK UNIFIED IDEOGRAPH-6C60,CJK,1227,NAME:718; _MARNM:199; SURN:188; OCCU:55,養徳院 /池田/
達,U+9054,CJK UNIFIED IDEOGRAPH-9054,CJK,1225,NAME:676; GIVN:233; _MARNM:109; SURN:109,陳達甫 /Chan/
É,U+00C9,LATIN CAPITAL LETTER E WITH ACUTE,LATIN,1221,NAME:384; GIVN:191; TITL:181; OCCU:63,Élisabeth /Le Maigne du Plat/
土,U+571F,CJK UNIFIED IDEOGRAPH-571F,CJK,1219,NAME:729; _MARNM:186; SURN:166; OCCU:64,土田御前 /土田/
ς,U+03C2,GREEK SMALL LETTER FINAL SIGMA,GREEK,1207,NAME:472; GIVN:341; NICK:241; SURN:80,Μιχαήλ Ζ΄ /Δούκας/ Αυτοκράτορας του Βυζαντίου
盛,U+76DB,CJK UNIFIED IDEOGRAPH-76DB,CJK,1201,NAME:745; GIVN:379; OCCU:47; NICK:21,陳世盛 /Chan 116/
ǐ,U+01D0,LATIN SMALL LETTER I WITH CARON,LATIN,1200,NAME:746; GIVN:230; _MARNM:145; SURN:37,Hào: Zhúyǐn 號:竹隱
宮,U+5BAE,CJK UNIFIED IDEOGRAPH-5BAE,CJK,1182,NAME:589; _MARNM:163; SURN:161; OCCU:128,文仁 /秋篠宮/
衛,U+885B,CJK UNIFIED IDEOGRAPH-885B,CJK,1175,NAME:597; GIVN:234; OCCU:115; _MARNM:113,六郎左衛門
叔,U+53D4,CJK UNIFIED IDEOGRAPH-53D4,CJK,1167,NAME:607; GIVN:444; TITL:73; NICK:27,混 叔源 /陳郡陽夏/
ר,U+05E8,HEBREW LETTER RESH,HEBREW,1165,NAME:568; GIVN:185; SURN:147; NSFX:82,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
Î,U+00CE,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,LATIN,1163,STAE:1086; PLAC:64; CITY:6; NAME:3,Île-de-France
Х,U+0425,CYRILLIC CAPITAL LETTER HA,CYRILLIC,1141,NAME:416; GIVN:198; TITL:190; SURN:116,Мария Хосефа Корнела /Бурбон/
寺,U+5BFA,CJK UNIFIED IDEOGRAPH-5BFA,CJK,1140,NAME:631; _MARNM:157; SURN:157; OCCU:87,龍潭寺殿清巌常世大居士
日,U+65E5,CJK UNIFIED IDEOGRAPH-65E5,CJK,1133,NAME:554; GIVN:180; CTRY:168; _MARNM:82,陳日昇 /Chan/
守,U+5B88,CJK UNIFIED IDEOGRAPH-5B88,CJK,1133,NAME:546; GIVN:318; OCCU:170; NICK:47,従五位下左馬助、備後守
α,U+03B1,GREEK SMALL LETTER ALPHA,GREEK,1132,NAME:435; GIVN:271; NICK:204; SURN:118,Θεοφανώ /Σκλήραινα/
経,U+7D4C,CJK UNIFIED IDEOGRAPH-7D4C,CJK,1131,NAME:712; GIVN:357; OCCU:42; NICK:17,広沢局(名護屋経勝娘･豊臣秀吉側室)
郎,U+90CE,CJK UNIFIED IDEOGRAPH-90CE,CJK,1127,NAME:595; GIVN:386; NICK:118; OCCU:23,加納 嘉元次郎
א,U+05D0,HEBREW LETTER ALEF,HEBREW,1120,NAME:561; GIVN:197; SURN:156; NSFX:82,"הגאון הקדוש רבי אברהם יהושע העשיל , ר""מ ואב""ד לובלין ובק""ק קראקא(מח""ס ""חנוכת התורה"")"
周,U+5468,CJK UNIFIED IDEOGRAPH-5468,CJK,1119,NAME:507; TITL:213; GIVN:142; _MARNM:136,氏 /周/
Я,U+042F,CYRILLIC CAPITAL LETTER YA,CYRILLIC,1118,NAME:408; GIVN:240; TITL:204; SURN:81,Ilya Ярославич /Yaroslavich/ Grand Prince of Novgorod
遠,U+9060,CJK UNIFIED IDEOGRAPH-9060,CJK,1109,NAME:627; GIVN:341; TITL:40; _MARNM:33,陳遠發 /Chan/
臣,U+81E3,CJK UNIFIED IDEOGRAPH-81E3,CJK,1105,NAME:578; GIVN:166; OCCU:155; _MARNM:148,家臣
خ,U+062E,ARABIC LETTER KHAH,ARABIC,1104,NAME:449; SURN:223; GIVN:186; _MARNM:112,دسپنه خاتون‎ //
師,U+5E2B,CJK UNIFIED IDEOGRAPH-5E2B,CJK,1094,NAME:650; GIVN:334; SURN:38; OCCU:31,"Yǎnshī 偃師 /Chén 陳/ 58,50,17G"
呂,U+5442,CJK UNIFIED IDEOGRAPH-5442,CJK,1094,NAME:545; _MARNM:267; GIVN:209; NICK:33,麻呂古皇子
萬,U+842C,CJK UNIFIED IDEOGRAPH-842C,CJK,1082,NAME:588; SURN:317; GIVN:150; _MARNM:18,徽 /京兆萬年/
次,U+6B21,CJK UNIFIED IDEOGRAPH-6B21,CJK,1078,NAME:620; GIVN:324; NICK:63; OCCU:60,久次 /加納/
–,U+2013,EN DASH,EN,1073,TITL:657; OCCU:181; NAME:116; NICK:41,Portrait of Anne of Danmark (1617) by Paul van Somer (c. 1577 – 1621)
夫,U+592B,CJK UNIFIED IDEOGRAPH-592B,CJK,1069,TITL:573; NAME:254; GIVN:174; OCCU:39,ロバート 郁夫 /加納/
知,U+77E5,CJK UNIFIED IDEOGRAPH-77E5,CJK,1067,NAME:603; GIVN:349; STAE:27; OCCU:27,愛知県
林,U+6797,CJK UNIFIED IDEOGRAPH-6797,CJK,1063,NAME:554; GIVN:233; _MARNM:158; SURN:87,莊公林 /Chen 陳/
茂,U+8302,CJK UNIFIED IDEOGRAPH-8302,CJK,1062,NAME:598; GIVN:364; OCCU:37; TITL:31,嘏 含茂 /陳郡陽夏/
春,U+6625,CJK UNIFIED IDEOGRAPH-6625,CJK,1058,NAME:612; GIVN:293; SURN:57; TITL:32,陳魁春 /Chan/
真,U+771F,CJK UNIFIED IDEOGRAPH-771F,CJK,1056,NAME:617; GIVN:338; NICK:26; _MARNM:25,真 /陳/
賢,U+8CE2,CJK UNIFIED IDEOGRAPH-8CE2,CJK,1055,NAME:605; GIVN:357; TITL:45; OCCU:27,猛 希賢 /陳/
豊,U+8C4A,CJK UNIFIED IDEOGRAPH-8C4A,CJK,1055,NAME:594; GIVN:290; OCCU:72; NICK:47,豊山町
蘇,U+8607,CJK UNIFIED IDEOGRAPH-8607,CJK,1050,NAME:441; _MARNM:392; SURN:136; GIVN:57,蘇氏 /Chan/
常,U+5E38,CJK UNIFIED IDEOGRAPH-5E38,CJK,1045,NAME:609; GIVN:256; SURN:114; OCCU:27,Seung 常  /NG/ 6gen.
陸,U+9678,CJK UNIFIED IDEOGRAPH-9678,CJK,1044,_MARNM:548; NAME:347; SURN:91; OCCU:16,陸奥国会津藩
生,U+751F,CJK UNIFIED IDEOGRAPH-751F,CJK,1040,NAME:585; GIVN:163; _MARNM:114; SURN:107,福生 /陳/
博,U+535A,CJK UNIFIED IDEOGRAPH-535A,CJK,1037,NAME:523; SURN:456; GIVN:44; _MARNM:7,掖上博多山上陵
五,U+4E94,CJK UNIFIED IDEOGRAPH-4E94,CJK,1034,NAME:512; NSFX:197; OCCU:110; GIVN:96,陳仲五 /Chan/
ć,U+0107,LATIN SMALL LETTER C WITH ACUTE,LATIN,1033,NAME:355; _MARNM:295; SURN:265; NICK:73,Stefan I Prvovjenčani /Nemanjić/ Prvovenčani
主,U+4E3B,CJK UNIFIED IDEOGRAPH-4E3B,CJK,1020,OCCU:369; NAME:258; TITL:210; GIVN:118,当主
思,U+601D,CJK UNIFIED IDEOGRAPH-601D,CJK,1017,NAME:552; GIVN:398; TITL:49; NICK:13,青吉思汗
門,U+9580,CJK UNIFIED IDEOGRAPH-9580,CJK,1014,NAME:557; GIVN:229; OCCU:64; NICK:55,六郎左衛門
都,U+90FD,CJK UNIFIED IDEOGRAPH-90FD,CJK,1010,NAME:467; SURN:266; GIVN:88; STAE:58,京都市北区
