qid	latin	ja	zh
Q2196457	Mangkunegara IV	マンクヌゴロ4世	
Q219646	Vicente Blasco Ibáñez	ビセンテ・ブラスコ・イバニェス	维森特·布拉斯科·伊巴涅斯
Q219653	Joshua Jackson	ジョシュア・ジャクソン	约书亚·杰克逊
Q219655	Carey Mulligan	キャリー・マリガン	凯瑞·穆里根
Q219657	Frank de Boer	フランク・デ・ブール	弗兰克·德波尔
Q219716	Paul Nurse	ポール・ナース	保罗·纳斯
Q219718	George Emil Palade	ジョージ・エミール・パラーデ	乔治·埃米尔·帕拉德
Q219721	Robert Mundell	ロバート・マンデル	罗伯特·蒙代尔
Q219731	George Canning	ジョージ・カニング	乔治·坎宁
Q219733	Richard Stone	リチャード・ストーン	理查德·史东
Q2197385	Harry Solter	ハリー・ソルター	
Q219772	PJ Harvey	PJ ハーヴェイ	PJ哈维
Q219780	Hunter S. Thompson	ハンター・S・トンプソン	亨特·斯托克顿·汤普森
Q219782	Dusty Springfield	ダスティ・スプリングフィールド	达斯蒂·斯普林菲尔德
Q219784	Lawrence Durrell	ロレンス・ダレル	勞倫斯·達雷爾
Q21979686	Henry Devenish Harben		亨利·德夫尼什·哈本
Q219797	Elbridge Gerry	エルブリッジ・ゲリー	埃尔布里奇·格里
Q2198070	Virginia Hall	バージニア・ホール	
Q219842	André Citroën	アンドレ・シトロエン	安德烈·雪铁龙
Q219861	Paul Wolfowitz	ポール・ウォルフォウィッツ	保罗·沃尔福威茨
Q219895	Matthew Flinders	マシュー・フリンダース	马修·福林达斯
Q219912	Fausto Coppi	ファウスト・コッピ	冯斯托·科皮
Q2199188	Alfred of Prussia	アルフレート・フォン・プロイセン	
Q2199345	Hermannus Höfte		赫夫特 赫尔曼努斯
Q21994041	Charles Noel Flagg		查爾斯·諾埃爾·弗拉格
Q21994172	John Kohn		約翰·科恩
Q21994999	Joseph Foster Barham	ジョセフ・フォスター・バラム	
Q21995203	Lily Cushing	リリー・クッシング	
Q219962	Seretse Khama	セレツェ・カーマ	塞雷茨·卡马
Q21996464	Denis von Eskeles	デニス・フォン・エスケレス	
Q21997031	Ralph Lazo	ラルフ・ラソ	
Q21997525	Jane Fraser	ジェーン・フレイザー	范潔恩
Q21997592	Margaret Erskine of Dun	マーガレット・ケネディ	
Q219982	Joseph Rotblat	ジョセフ・ロートブラット	约瑟夫·罗特布拉特
Q22001324	Karol G	カロル・G	卡蘿姬
Q220018	Anaïs Nin	アナイス・ニン	阿内丝·尼恩
Q22002311	William James	ウィリアム・ジェームズ	
Q22002751	Howard Gardiner Cushing		霍华德 加德纳 库欣
Q220030	Alfred Józef Potocki	アルフレト・ユゼフ・ポトツキ	阿爾弗雷德·約瑟夫·波託基
Q22003191	Gavyn Farr Arthur		嘉梵·亞瑟
Q22003412	Ivan Bonar	イヴァン・ボーナー	
Q22003413	Seth Bonder	セス・ボンダー	
Q22004058	Lillian Dickson		孫理蓮
Q22004181	Dorothy Eck		多蘿西·埃克
Q22004644	Sean Grandillo		肖恩·戈兰迪洛
Q22004720	Mohamed Hadih	モハメッド・ハディッド	穆罕默德·哈迪德
Q22004972	Kurt Hohenemser	クルト・ホエネムザー	
Q220078	Kingsley Amis	キングズリー・エイミス	金斯利·艾米斯
Q220099	Arghun	アルグン	阿鲁浑
Q220105	Galeazzo Ciano	ガレアッツォ・チャーノ	加莱阿佐·齐亚诺
Q220130	Flinders Petrie	フリンダーズ・ピートリー	弗林德斯·皮特里
Q22013318	Carlotta Zofkova		卡洛塔·佐夫科娃
Q220140	Travis Barker	トラヴィス・バーカー	特拉维斯·巴克
Q220168	Bob Sheppard	ボブ・シェパード	鲍伯·谢帕德
Q22017455	William Prentice Cooper		威廉·普伦蒂斯·库珀
Q22018037	John Welsh Dulles	ジョン・ウェルシュ・ダレス	約翰·威爾許·杜勒斯
Q22018663	Henry Noble MacCracken	ヘンリー・ノーブル・マクラッケン	
Q22018748	Gisela Januszewska		吉塞拉·扬努斯夫斯卡
Q22018763	John Henry MacCracken	ジョン・ヘンリー・マクラッケン	
Q22018805	Lucien Lee Kinsolving	ルシアン・リー・キンソルヴィング	
Q22018913	John Donelson Martin		約翰·唐爾森·馬丁
Q22019437	William Stack	ウィリアム・スタック	
Q22020000	Lord Thomas Cecil	トマス・セシル	
Q220201	Jacqueline de Bueil		雅克利娜·德·比埃伊
Q22020490	Peter Carr		彼得·卡爾
Q22020556	Robert Lindsay	ロバート・リンジー	
Q220210	George Steinbrenner	ジョージ・スタインブレナー	乔治·史坦布瑞纳
Q2202749	Henrik Sillem	ヘンリック・シレム	
Q220352	Miksa Róth	ロート・ミクシャ	
Q2203725	Philip Slier	フィリップ・スライアー	
Q22038957	Henri de Massue de Ruvigny	アンリ・ド・マシュー	
Q22039578	Thomas Matheson	トマス・マセソン	
Q220402	Timothy Gowers	ウィリアム・ティモシー・ガワーズ	蒂莫西·高爾斯
Q220408	Thomas François Burgers	トマス・フランソワ・バーガーズ	托馬斯·弗朗索瓦·伯格爾斯
Q22041121	Richard Henry Howard-Vyse	リチャード・ヘンリー・ホワード・ヴァイス	
Q2204367	Herman David Koppel	ヘアマン・ダーヴィド・コッペル	
Q220444	Blanche av Navarra	ブランカ・ガルセス・デ・ナバラ	納瓦拉的布蘭卡
Q2204464	Dighton Probyn	ダイトン・プラウビン	
Q220450	David Gemmell	デヴィッド・ゲメル	大衛‧蓋梅爾
Q22046533	Daniel Durant	ダニエル・デュラント	丹尼尔·杜兰特
Q220471	Frederik Marcus Knuth	フレデリク・マークス・クヌート	
Q2204793	Duchess Elsa of Württemberg	エルザ・フォン・ヴュルテンベルク	符騰堡的艾爾莎
Q220480	Zora Neale Hurston	ゾラ・ニール・ハーストン	卓拉·尼尔·赫斯特
Q2204805	Pierre Casiraghi	ピエール・カシラギ	皮埃尔·卡西拉奇
Q2205159	Hubert Green	ヒューバート・グリーン	休伯特·格林
Q220520	John Browning	ジョン・ブローニング	约翰·勃朗宁
Q220536	Kal Penn	カル・ペン	卡尔·潘
Q220545	Zoran Mušič		佐蘭·穆西奇
Q220556	Brock Lesnar	ブロック・レスナー	布洛克·雷斯纳
Q2205590	Lord Leopold Mountbatten	レオポルド・マウントバッテン	利奥波德·蒙巴顿勋爵
Q220593	Lucas Leiva	ルーカス・レイヴァ	卢卡斯·雷瓦
Q220619	Elihu Root	エリフ・ルート	罗脱
Q220653	Vasile Lupu	ヴァシーレ・ルプ	瓦西里·卢普
Q220693	Marilyn Chambers	マリリン・チェンバース	
Q22069330	Alfredo Campanini		阿尔弗雷多·坎帕尼尼
Q22069427	Gabriele Gravina	ガブリエーレ・グラヴィーナ	加布里埃尔·格拉维纳
Q220703	Charles Rennie Mackintosh	チャールズ・レニー・マッキントッシュ	查尔斯·雷尼·麦金托什
Q220707	Muddy Waters	マディ・ウォーターズ	马迪·沃特斯
Q220708	John Boswell	ジョン・ボズウェル	約翰·鮑斯威爾
Q220711	Dorothea of Bulgaria	ドロテア	保加利亞的多蘿西亞
Q220768	Giambattista Bodoni	ジャンバティスタ・ボドニ	詹巴蒂斯塔·博多尼
Q22078653	Gao Yansun		高衍孙
Q22078678	Shi Juan		史涓
Q22078692	Wang Dading		汪大定
Q22078968	Cui Hong		崔洪
Q22078983	Peng Ji		彭戢
Q22079133	Zhang Zijun		章仔钧
Q22079174	Xue Qiang		薛强
Q22079180	Wei Rong		卫融
Q22079223	Lu Rui		陆叡
Q22079238	Yan Han		颜含
Q220799	Bernard I	ベルンハルト1世 (ザクセン公)	伯恩哈德一世
Q220806	Bohemond I of Antioch	ボエモン1世	博希蒙德一世
Q2208214	Johan Cohen Gosschalk	ヨハン・コーヘン・ホッスハルク	
Q220823	Princess Auguste Karoline of Brunswick-Wolfenbüttel	アウグステ・カロリーネ・フォン・ブラウンシュヴァイク＝ヴォルフェンビュッテル	不倫瑞克-沃爾芬比特爾的奧古斯塔·卡羅琳
Q220834	Joe Eszterhas	ジョー・エスターハス	乔·伊斯特哈斯
Q220845	Margaret of Valois	マルグリット・ド・ヴァロワ	玛格丽特
Q22084744	Gustav Hitler	グスタフ・ヒトラー	
Q22084775	Otto Hitler	オットー・ヒトラー	奥托·希特勒
Q22084776	Edmund Hitler	エドムント・ヒトラー	
Q2208719	Imee Marcos	アイミー・マルコス	艾米·马科斯
Q22087332	Mary Stilwell Edison	メアリー・スティルウェル	
Q22087338	Mina Miller	ミナ・ミラー	
Q220883	Poul Anderson	ポール・アンダースン	波尔·安德森
Q220901	Laura Dern	ローラ・ダーン	劳拉·邓恩
Q220918	Emilio Estevez	エミリオ・エステベス	艾米利奥·艾斯特维兹
Q220944	Moshe Safdie	モシェ・サフディ	摩西·萨夫迪
Q2209537	Sabina Catherine of East Frisia		東菲士蘭的莎碧娜·卡塔里娜
Q22095395	Doug Burgum	ダグ・バーガム	道格·伯古姆
Q22096467	Ted McNair	セオドア・マクネア	
Q22096473	Robert William Hooper	ロバート・ウィリアム・フーパー	
Q220980	Pío Baroja	ピオ・バローハ	巴羅哈,
Q22098487	Yao Kuan		姚宽
Q22098557	Zeng Shu		曾纡
Q22098856	Philipp Franz Friedrich Conrad Wilhelm Chlodwig		菲利普·弗朗茨
Q22098906	Wang Junmin		王俊民
Q22098963	Sih Tse Wang		王錫熾
Q22099092	Li Zhen		李轸
Q22099251	Xue Penggui		薛朋龟
Q220994	Robert Curthose	ロベール2世	罗贝尔二世
Q22099525	Wang Zhongshan	王仲山	王仲岏
Q22099620	Mei Yiyan		梅以燕
Q22099714	Chen Shang		陈赏
Q22099827	Ren Yuan		任渊
Q221001	Jacques Anquetil	ジャック・アンクティル	雅克·恩奎蒂尔
Q22100286	Yang Changru		杨长孺
Q22100478	Shen Bin		沈彬
Q22100489	Shen Xun		沈洵
Q22100904	Duanmu Cai		端木采
Q2210100	Giuseppe Bastianini	ジュゼッペ・バスティアニーニ	朱塞佩·巴斯蒂亚尼
Q22101411	He Wen		何汶
Q22101440	Xu Yin		许尹
Q22101641	Leon Clore		萊昂·克洛爾
Q22102086	Ross Lowell	ロス・ローウェル	
Q221048	Jackie Robinson	ジャッキー・ロビンソン	杰基·罗宾森
Q2210595	Dmitry Bykov	ドミトリー・ビコフ	迪米特里·贝科夫
Q221061	Sewall Wright	シューアル・ライト	休厄尔·赖特
Q221068	Logan Lerman	ローガン・ラーマン	罗根·勒曼
Q221074	Bud Spencer	バッド・スペンサー	布德·斯藩塞
Q2211169	Caspar John	サー・キャスパー・ジョン	
Q221125	William Dampier	ウィリアム・ダンピア	威廉·丹皮尔
Q2211433	Michelle Nicastro	ミシェル・ニカストロ	米歇尔·尼卡斯特罗
Q221145	Maria II of Portugal	マリア2世	玛丽亚二世
Q2211749	Catherine Vasa of Sweden	カタリーナ・ヴァーサ	卡塔琳娜·瓦萨
Q2212796	Bruno Bruins		布鲁诺·布鲁因斯
Q22129456	Consort Wu	恵穆貴妃	惠穆贤妃
Q2213142	Philip Hermogenes Calderon	フィリップ・ハモジェニーズ・コールドロン	菲利普·赫莫傑因斯·卡爾德隆
Q22132962	Herman Rijkaard	ヘルマン・ライカールト	
Q22133567	Grigory Okunev	グリゴリー・オクネフ	
Q221341	Jason Kidd	ジェイソン・キッド	贾森·基德
Q221349	Harry Redknapp	ハリー・レドナップ	哈里·雷德克纳普
Q2213537	Sakari Ilmanen	サカリ・イルマネン	
Q221364	Jaden Smith	ジェイデン・スミス	贾登·史密斯
Q2213643	Duan Yu	段正厳	段和誉
Q221367	Richard of Shrewsbury	リチャード・オブ・シュルーズベリー	什魯斯伯里的理查，第一代約克公爵
Q22138384	Anna Spiegelová	アンナ・シュピーグロヴァー	
Q2214093	Princess Elisabeth Sybille of Saxe-Weimar-Eisenach	エリーザベト・フォン・ザクセン＝ヴァイマル＝アイゼナハ	薩克森-魏瑪-艾森納赫的伊莉莎白
Q221411	Wim Kok	ウィム・コック	维姆·科克
Q2214200	Salem Poor	サーレム・プア	
Q221450	Luciano Berio	ルチアーノ・ベリオ	卢西亚诺·贝里奥
Q221454	René Lacoste	ルネ・ラコステ	雷内·拉科斯特
Q221464	Gilbert Gottfried	ギルバート・ゴットフリード	吉尔伯特·高特弗雷德
Q221479	Gilberto Gil	ジルベルト・ジル	吉尔贝托·吉尔
Q221482	Jim Thorpe	ジム・ソープ	吉姆·索普
Q2214976	Salomon Eberhard Henschen	サロモン・エバーハルト・ヘンシェン	
Q2214998	Salomon Hermann Mosenthal	サロモン・ヘルマン・フォン・モーゼンタール	
Q221531	Stanisław Sosabowski	スタニスラウ・ソサボフスキー	斯坦尼斯瓦夫·索萨波夫斯基
Q221535	Eddie Vedder	エディ・ヴェダー	艾迪·维达
Q221549	Louis Napoléon Bonaparte	ナポレオン・ウジェーヌ・ルイ・ボナパルト	拿破崙·歐仁·路易·波拿巴
Q2215748	Salvatore Pes di Villamarina	サルヴァトーレ・ペス・ディ・ヴィッラマリーナ	
Q2215964	Isabella Brant	イザベラ・ブラント	
Q2215985	Franta Belsky		弗兰塔·贝尔斯基
Q2216391	Samuel Bowers		塞缪尔·鲍尔斯
Q2216466	Sam G. Bratton	サム・G・ブラットン	
Q2216496	Samuel Francis Hobbs	サム・ホッブス	薩姆·霍布斯
Q221697	Hilary Putnam	ヒラリー・パトナム	希拉里·怀特霍尔·帕特南
Q221723	Vladimir Bekhterev	ウラジーミル・ベヒテレフ	弗拉基米尔·米哈伊诺维奇·别赫捷列夫
Q2217295	Miranda Hart	ミランダ・ハート	米兰达·哈特
Q221737	Tim Henman	ティム・ヘンマン	蒂姆·亨曼
Q221785	Eugen von Keyserling	オイゲン・フォン・カイザーリンク	
Q221793	Riccardo Ferri	リカルド・フェッリ	里卡尔多·费里
Q2217978	Samuel L. M. Barlow	サミュエル・バーロウ	
Q2218016	Samuel Blackall		山姆·布拉卡爾
Q2218019	Samuel Blatchford	サミュエル・ブラッチフォード	塞缪尔·布拉奇福德
Q2218137	Samuel D. Jackson	サミュエル・D・ジャクソン	
Q2218164	Samuel Calvin Tate Dodd	サミュエル・ドッド	
Q2218198	Samuel Elbert	サミュエル・エルバート	薩繆爾·埃爾伯特
Q2218223	Samuel F. Phillips	サミュエル・フィリップス	
Q2218239	Samuel Fenton Cary	サミュエル・ケイリー	
Q2218260	Samuel Franklin Emmons		塞缪尔·富兰克林·埃蒙斯
Q2218270	Samuel Freeman Miller	サミュエル・フリーマン・ミラー	塞缪尔·弗里曼·米勒
Q2218363	Samuel Hieronymus Grimm	サミュエル・ヒエロニムス・グリム	
Q2218376	Samuel Hitt Elbert		塞繆爾·希特·艾伯特
Q2218403	Samuel J. Crawford	サミュエル・J・クロウフォード	塞繆爾·J·克勞福德
Q2218423	Samuel J. Locklear	サミュエル・ロックリア	萨缪尔·洛克利尔三世
Q221843	Ed Wood	エド・ウッド	艾德·伍德
Q2218457	Samuel J. R. McMillan	サミュエル・J・R・マクミラン	
Q2218495	Samuel Kirkland	サミュエル・カークランド	
Q2218608	Samuel Steward	サミュエル・スチュワード	
Q2218628	Samuel Maclay	サミュエル・マクレイ	薩繆爾·麥克萊
Q2218641	S.L.A. Marshall	S・L・A・マーシャル	塞缪尔·马歇尔
Q2218669	Samuel Meier Ehrenberg	サムソン・マイヤー・エーレンバーグ	
Q2218673	Samuel Morgenstern		萨穆埃尔·莫根施特恩
Q2218683	Samuel Meredith	サミュエル・メレディス	塞缪尔·梅瑞狄斯
Q2218699	Samuel Naumbourg	サミュエル・ナウムブール	萨米埃尔·瑙姆堡
Q221870	Ernest Jones	アーネスト・ジョーンズ	欧内斯特·琼斯
Q221874	Dorothy Comingore	ドロシー・カミンゴア	
Q2218762	Samuel Porter	ポーター卿	
Q2218800	Samuel Reber	サミュエル・リーベル	
Q2218873	Sam Shankland		塞缪尔·尚克兰德
Q2218900	Samuel Thurston	サミュエル・サーストン	塞缪尔·瑟斯顿
Q2218948	Samuel W. Reynolds	サミュエル・W・レイノルズ	
Q2218966	Samuel Wilder King	サミュエル・ワイルダー・キング	塞缪尔·怀尔德·金
Q2218967	Samuel Willenberg		萨穆埃尔·维伦贝格
Q2218974	Samuel Williams Inge		塞繆爾·威廉姆斯·英格
Q2218989	Samuel Wright Mardis		塞繆爾·賴特·瑪迪斯
Q2219076	Dundul Namgyal Tsarong		东堆朗杰
Q221917	Val Lewton	ヴァル・リュートン	瓦爾·魯頓
Q221923	Michael Weatherly	マイケル・ウェザリー	迈克尔·韦瑟利
Q2219923	Francisco Xavier de Luna Pizarro		弗朗西斯科·哈维尔·德卢纳·皮萨罗
Q221997	Jeb Bush	ジェブ・ブッシュ	杰布·布什
Q222008	Kathleen Turner	キャスリーン・ターナー	凯瑟琳·特纳
Q22201	Jim DeMint	ジム・デミント	吉姆·德敏特
Q2220575	Tommy Aaron	トミー・アーロン	湯米·亞倫
Q222071	Courtney Love	コートニー・ラブ	考特妮·洛夫
Q2220909	Tung Chao Yung	董浩雲	董浩云
Q222116	John Boyd Dunlop	ジョン・ボイド・ダンロップ	约翰·邓洛普
Q22212	Lindsey Graham	リンゼー・グラム	林賽·格雷厄姆
Q222134	Ted Kaczynski	セオドア・カジンスキー	大学航空炸弹怪客
Q2221431	Boris Pokrovsky	ボリス・ポクロフスキー	鲍里斯·波克罗夫斯基
Q2221508	Gilles Holst	ジル・ホルスト	
Q2221592	Sanford I. Weill	サンフォード・I・ワイル	桑福德·威爾
Q2221606	Wong Nai Siong		黄乃裳
Q2221664	Richard Roland Holst	リシャルト・ロラント＝ホルスト	
Q2221679	Joey Mantia	ジョーイ・マンティア	乔伊·曼蒂亚
Q2221868	Andrew Parker Bowles	アンドリュー・パーカー・ボウルズ	安德魯·帕克·鮑爾斯
Q2221910	Samuel Willard	サミュエル・ウィラード	塞缪尔·威拉德
Q22222	Kirsten Gillibrand	キアステン・ジリブランド	陆天娜
Q22230918	Mette Sophie Gad	メット＝ソフィー・ガッド	
Q22231147	Margrethe Bohr	マルグレーテ・ネアルン	
Q2223240	Lillian Fuchs	リリアン・フックス	
Q2223371	Per-Ingvar Brånemark	ペル・イングヴァール・ブローネマルク	Branemark
